Date,Chrome,Firefox,IE,Safari,Edge,Opera,Other
2018-06,66.87,11.44,7.13,5.38,4.16,2.47,0.07
2018-07,67.6,11.23,6.97,5.01,4.19,2.48,0.08
2018-08,67.66,10.96,6.97,5.13,4.24,2.48,0.08
2018-09,67.88,10.94,6.45,5.58,4.36,2.44,0.06
2018-10,69.64,10.14,6.01,5.61,4.21,2.29,0.06
2018-11,72.38,9.1,5.38,5.06,4,2.18,0.08
2018-12,70.95,10.05,5.4,5.06,4.17,2.38,0.07
2019-01,70.88,9.5,5.74,5.15,4.41,2.37,0.06
2019-02,71.58,8.72,5.34,5.77,4.34,2.41,0.05
2019-03,69.52,9.58,5.44,6.46,4.56,2.43,0.05
2019-04,69.55,9.78,5.16,6.91,4.37,2.38,0.05
2019-05,69.49,9.95,5.09,6.94,4.32,2.35,0.06
2019-06,70.71,9.76,5.03,5.64,4.5,2.45,0.07
